               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.033399,            0.034201,           0.0054003,             0.93467,             0.89348,             0.95403,             0.74155,            0.026216,            0.019153,           0.0024932,            0.001981,            0.001981,            0.001981
                  83,            0.029478,            0.037555,           0.0044213,             0.90285,             0.90472,             0.95299,             0.75486,            0.025649,            0.019035,            0.002475,            0.001882,            0.001882,            0.001882
                  84,            0.031449,             0.03634,           0.0047682,             0.90865,             0.90892,             0.96017,             0.75844,            0.025084,            0.018924,            0.002457,            0.001783,            0.001783,            0.001783
                  85,            0.027768,            0.032381,           0.0048356,             0.89813,             0.92333,             0.95817,             0.76045,            0.025127,            0.018937,           0.0024211,            0.001684,            0.001684,            0.001684
                  86,            0.031845,            0.037499,           0.0052065,             0.89736,             0.91747,             0.95615,             0.76073,            0.025351,            0.018979,           0.0023785,            0.001585,            0.001585,            0.001585
                  87,            0.029428,            0.034126,           0.0046746,             0.89533,             0.91974,             0.95542,             0.75807,             0.02509,            0.018892,            0.002358,            0.001486,            0.001486,            0.001486
                  88,            0.028886,            0.033259,           0.0045254,              0.8931,             0.92187,             0.95635,             0.76352,            0.025076,            0.018882,           0.0023422,            0.001387,            0.001387,            0.001387
                  89,             0.02954,            0.034224,           0.0046911,             0.89334,             0.90829,             0.95552,             0.76101,            0.025069,             0.01884,           0.0023338,            0.001288,            0.001288,            0.001288
                  90,            0.029731,            0.035402,            0.005171,             0.93783,             0.88184,             0.95513,             0.76733,             0.02464,            0.018651,           0.0023186,            0.001189,            0.001189,            0.001189
                  91,            0.030267,            0.036837,           0.0046318,             0.93857,             0.88121,             0.95367,             0.76789,             0.02453,            0.018557,           0.0023067,             0.00109,             0.00109,             0.00109
                  92,            0.028864,            0.035674,           0.0045622,             0.89512,             0.90819,             0.95499,             0.77429,            0.024367,            0.018413,           0.0022945,            0.000991,            0.000991,            0.000991
                  93,            0.029439,            0.038941,           0.0041405,             0.92903,             0.88929,             0.94554,              0.7693,             0.02427,            0.018324,           0.0022894,            0.000892,            0.000892,            0.000892
                  94,            0.029783,            0.037241,           0.0051804,             0.93262,             0.88526,              0.9455,             0.76725,            0.024165,            0.018269,           0.0022806,            0.000793,            0.000793,            0.000793
                  95,            0.027428,            0.034274,            0.004212,             0.92929,             0.89148,             0.94902,             0.77185,            0.023972,            0.018188,           0.0022666,            0.000694,            0.000694,            0.000694
                  96,            0.028317,            0.034526,           0.0043013,             0.93627,             0.88726,             0.94883,             0.77306,            0.023938,            0.018112,            0.002262,            0.000595,            0.000595,            0.000595
                  97,            0.030107,            0.038362,           0.0048615,             0.93396,             0.89065,             0.94886,             0.77273,            0.023975,             0.01807,           0.0022582,            0.000496,            0.000496,            0.000496
                  98,            0.027775,            0.035915,           0.0048706,             0.93729,             0.88934,             0.94724,             0.77677,            0.023777,            0.017987,           0.0022516,            0.000397,            0.000397,            0.000397
                  99,            0.030347,            0.038369,           0.0044618,             0.93804,             0.88995,             0.94777,             0.77637,             0.02368,            0.017938,           0.0022469,            0.000298,            0.000298,            0.000298
